"","param.code","CA","dataset","stations","yearsTotal","yearsDry","yearsWet","FirstYear","LastYear","ndays","nsamples","firstSample","lastSample","period_mean","value_mean","value_sd"
"1","NNHTUR","Catfish Creek Conserservation Authority","1964",3,12,2,0,1984,1995,285,285,29.6666666666667,330.583333333333,41.3357597054886,0.107382456140351,0.164548735366904
"2","NNHTUR","Catfish Creek Conserservation Authority","2000",4,4,1,0,2003,2006,80,80,162.5,283.25,32.8342055224868,0.0770049019607843,0.313870923880928
"3","NNHTUR","Essex Region Conservation Authority","1964",13,16,2,1,1975,1996,1402,1419,37.625,311.375,32.2367284646489,0.328038927169946,0.769857791978943
"4","NNHTUR","Essex Region Conservation Authority","2000",8,16,4,4,2001,2016,750,755,116.25,300.9375,33.9243336479684,0.465976351351351,3.44332061637696
"5","NNHTUR","Grand River Conservation Authority","1964",88,10,2,1,1974,1999,3831,4100,40.8,298.1,30.9453447194963,0.138425061863678,0.377124464654786
"6","NNHTUR","Grand River Conservation Authority","2000",46,17,4,4,2000,2016,4621,4631,18.1176470588235,348.647058823529,33.6177526175401,0.0970222001402852,0.188599971503585
"7","NNHTUR","Kettle Creek Conservation Authority","1964",7,12,2,0,1984,1995,668,668,26.1666666666667,330.583333333333,41.5797656548301,0.11412012012012,0.198402796754445
"8","NNHTUR","Kettle Creek Conservation Authority","2000",4,13,2,4,2004,2016,332,332,125.692307692308,316.538461538462,35.8024305555556,0.07248125,0.0767501317225953
"9","NNHTUR","Long Point Region Conservation Authority","1964",26,14,2,0,1975,1995,362,365,58.9285714285714,316.071428571429,40.2089590097403,0.0548007054673721,0.0951894130600643
"10","NNHTUR","Long Point Region Conservation Authority","2000",18,17,4,4,2000,2016,1152,1152,97.1764705882353,324.294117647059,34.0636594050901,0.061221514312096,0.125429795143744
"11","NNHTUR","Lower Thames Valey Conservation Authority","1964",17,19,3,1,1975,1999,2217,2282,35,322.736842105263,34.1687235435928,0.20178281489966,0.524110020831403
"12","NNHTUR","Lower Thames Valey Conservation Authority","2000",12,17,4,4,2000,2016,718,719,129.882352941176,310.764705882353,37.3884053054491,0.0860176687763713,0.221315690737051
"13","NNHTUR","St. Clair Region Conservation Authority","1964",11,17,3,1,1975,1999,1394,1398,24.5882352941176,340.294117647059,33.3986214681918,0.143161159805224,0.331343283621701
"14","NNHTUR","St. Clair Region Conservation Authority","2000",10,17,4,4,2000,2016,972,972,97.8823529411765,324.235294117647,30.6482536895133,0.0627588014981273,0.131920106072818
"15","NNHTUR","Upper Thames River Conservation Authority","1964",30,17,3,1,1975,1999,3688,3743,40,311.823529411765,31.1989617696592,0.161458708191738,0.363326121087585
"16","NNHTUR","Upper Thames River Conservation Authority","2000",34,17,4,4,2000,2016,2144,2144,78.4117647058823,310.823529411765,44.9510054557744,0.104031753554502,0.17518153880322
"17","NNO2UR","Catfish Creek Conserservation Authority","1964",3,12,2,0,1984,1995,289,289,29.6666666666667,330.583333333333,40.6822299077734,0.0990553633217993,0.508731050405302
"18","NNO2UR","Catfish Creek Conserservation Authority","2000",4,4,1,0,2003,2006,79,79,162.5,283.25,33.4311910774411,0.0343009950248756,0.0352351198242406
"19","NNO2UR","Essex Region Conservation Authority","1964",12,13,2,1,1984,1996,1264,1264,38.0769230769231,327.692307692308,32.9301684579898,0.140556611243072,0.380379014527335
"20","NNO2UR","Essex Region Conservation Authority","2000",8,16,4,4,2001,2016,747,752,116.25,300.9375,34.4418360433604,0.119750339213026,0.168228031555706
"21","NNO2UR","Grand River Conservation Authority","1964",55,6,2,1,1994,1999,1720,1728,49.3333333333333,348.333333333333,37.4635683538581,0.677204998972462,24.8299519323161
"22","NNO2UR","Grand River Conservation Authority","2000",46,17,4,4,2000,2016,4602,4610,18.1176470588235,348.647058823529,33.8064169502131,0.045123569023569,0.0766177931076483
"23","NNO2UR","Kettle Creek Conservation Authority","1964",7,12,2,0,1984,1995,670,670,26.1666666666667,330.583333333333,41.4518526445966,0.0741736526946108,0.137196418888225
"24","NNO2UR","Kettle Creek Conservation Authority","2000",4,13,2,4,2004,2016,332,332,125.692307692308,316.538461538462,35.8024305555556,0.04564375,0.0337259789124796
"25","NNO2UR","Long Point Region Conservation Authority","1964",21,12,2,0,1984,1995,269,269,62.3333333333333,326.666666666667,44.7167259485095,0.054507722007722,0.0789228718913683
"26","NNO2UR","Long Point Region Conservation Authority","2000",18,17,4,4,2000,2016,1145,1145,97.1764705882353,324.294117647059,34.2923993558776,0.0341422242874845,0.0481029234065586
"27","NNO2UR","Lower Thames Valey Conservation Authority","1964",17,16,3,1,1984,1999,2049,2052,34.875,344.625,34.29193175936,0.109737270427325,0.274469136172612
"28","NNO2UR","Lower Thames Valey Conservation Authority","2000",12,17,4,4,2000,2016,718,719,129.882352941176,310.764705882353,37.3884053054491,0.0486323839662447,0.0528597899114526
"29","NNO2UR","St. Clair Region Conservation Authority","1964",10,16,3,1,1984,1999,1375,1379,10.75,340.625,33.6984531117244,0.080107331700097,0.364730104832414
"30","NNO2UR","St. Clair Region Conservation Authority","2000",10,17,4,4,2000,2016,976,976,97.8823529411765,324.235294117647,30.4924811167584,0.0396165175242356,0.0371106430508789
"31","NNO2UR","Upper Thames River Conservation Authority","1964",29,15,3,1,1984,1999,3526,3527,41.6666666666667,318.666666666667,31.1082587716986,0.0749090995081347,0.116768145441121
"32","NNO2UR","Upper Thames River Conservation Authority","2000",34,17,4,4,2000,2016,2134,2135,78.4117647058823,310.882352941176,45.1608696531418,0.0476335714285714,0.0472120382134662
"33","NNOTUR","Catfish Creek Conserservation Authority","2000",4,4,1,0,2003,2006,79,79,162.5,283.25,32.7950673400673,3.14164676616915,3.21013413236053
"34","NNOTUR","Essex Region Conservation Authority","2000",8,16,4,4,2001,2016,737,742,116.25,300.9375,34.8829820936639,9.85561554332875,17.1839915751536
"35","NNOTUR","Grand River Conservation Authority","1964",55,6,2,1,1994,1999,1723,1732,49.3333333333333,348.333333333333,37.3782815298852,2.70097049466338,2.17536296343866
"36","NNOTUR","Grand River Conservation Authority","2000",46,17,4,4,2000,2016,4539,4549,18.1176470588235,348.647058823529,34.23385345413,2.64686492271106,1.96082696828816
"37","NNOTUR","Kettle Creek Conservation Authority","2000",4,13,2,4,2004,2016,328,328,125.692307692308,316.538461538462,36.3448916245791,3.63484018987342,2.59266749083457
"38","NNOTUR","Long Point Region Conservation Authority","1964",18,1,0,0,1995,1995,26,26,172,212,39.8836805555556,1.65423076923077,1.1166608189667
"39","NNOTUR","Long Point Region Conservation Authority","2000",18,17,4,4,2000,2016,1139,1139,99.2941176470588,324.294117647059,34.5087091741632,3.15991238717709,2.14033518854915
"40","NNOTUR","Lower Thames Valey Conservation Authority","1964",16,6,2,1,1994,1999,178,178,78,348.166666666667,21.308275713484,5.93477495697074,4.23794589593346
"41","NNOTUR","Lower Thames Valey Conservation Authority","2000",12,17,4,4,2000,2016,702,703,129.882352941176,312.764705882353,38.6913454689897,4.55076256077796,3.30928528862598
"42","NNOTUR","St. Clair Region Conservation Authority","1964",1,6,2,1,1994,1999,151,151,78,348.166666666667,19.7555832130832,3.48713338902813,2.97197907453611
"43","NNOTUR","St. Clair Region Conservation Authority","2000",10,17,4,4,2000,2016,959,959,101.058823529412,324.235294117647,30.5696302308802,3.69942873432155,2.77522942638248
